Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments,Hour,Age_Group,Over_Speeding,Speed_Diff,Day,Repeat_Offender,Month
VLT100010,Using Mobile Phone,458,Tamil Nadu,2023-01-11,1900-01-01 05:24:00,Bus,Silver,2005,West Bengal,28,Female,Commercial,1,Cloudy,Slippery,OFF1849,Highway Patrol,Valid,2,No,No,Red,80,107,0.06,Positive,No,Yes,Card,No,2,First Violation,5,26-35,True,27,Wednesday,True,2023-01
VLT100011,Overloading,2236,West Bengal,2023-01-12,1900-01-01 09:17:00,Bus,Silver,1997,Maharashtra,22,Female,Commercial,0,Foggy,Wet,OFF8390,RTO,Expired,5,Yes,Yes,Green,40,62,0.25,Not Conducted,Yes,Yes,Online,No,4,First Violation,9,18-25,True,22,Thursday,True,2023-01
VLT100012,No Helmet,915,Maharashtra,2023-01-13,1900-01-01 03:57:00,Scooter,Green,2021,Maharashtra,54,Male,Learner,3,Dust Storm,Dry,OFF9569,RTO,Suspended,5,No,Yes,Red,100,32,0.03,Positive,No,No,Not Paid,No,1,First Violation,3,46-60,False,-68,Friday,True,2023-01
VLT100013,Signal Jumping,4994,Delhi,2023-01-14,1900-01-01 21:13:00,Car,Black,2021,Karnataka,19,Male,Four-Wheeler,1,Rainy,Dry,OFF1680,Highway Patrol,Expired,5,Yes,,Green,80,99,0.49,Negative,No,No,Cash,No,5,First Violation,21,18-25,True,19,Saturday,True,2023-01
VLT100014,No Seatbelt,4098,Gujarat,2023-01-15,1900-01-01 20:39:00,Truck,Green,2022,Gujarat,47,Female,Two-Wheeler,6,Rainy,Wet,OFF1227,RTO,Suspended,2,,No,Yellow,80,27,0.34,Negative,No,No,Cash,Yes,5,First Violation,20,46-60,False,-53,Sunday,True,2023-01
VLT100015,No Seatbelt,1837,West Bengal,2023-01-16,1900-01-01 18:17:00,Bus,Black,2011,Gujarat,18,Other,Heavy Vehicle,8,Foggy,Slippery,OFF5533,Local Police,Valid,1,No,No,Yellow,50,90,0.17,Positive,No,No,Not Paid,Yes,1,Repeat Offender,18,,True,40,Monday,True,2023-01
VLT100016,No Seatbelt,4646,Punjab,2023-01-17,1900-01-01 01:00:00,Auto Rickshaw,Blue,2017,Punjab,45,Male,Four-Wheeler,7,Dust Storm,Wet,OFF8422,RTO,Suspended,1,No,,Green,60,70,0.02,Negative,No,No,Card,Yes,3,First Violation,1,36-45,True,10,Tuesday,True,2023-01
VLT100017,No Helmet,4336,Tamil Nadu,2023-01-18,1900-01-01 01:05:00,Truck,White,1996,Uttar Pradesh,56,Female,Commercial,6,Clear,Potholes,OFF1267,RTO,Expired,5,Yes,,Red,50,90,0.44,Not Conducted,Yes,No,Card,No,0,Repeat Offender,1,46-60,True,40,Wednesday,False,2023-01
VLT100018,Using Mobile Phone,3715,Punjab,2023-01-19,1900-01-01 07:20:00,Auto Rickshaw,Yellow,1995,Maharashtra,22,Female,Four-Wheeler,10,Dust Storm,Slippery,OFF3172,Local Police,Expired,2,Yes,No,Green,80,73,0.5,Not Conducted,Yes,Yes,Card,Yes,5,,7,18-25,False,-7,Thursday,True,2023-01
VLT100019,Signal Jumping,883,Karnataka,2023-01-20,1900-01-01 17:58:00,Bus,Silver,2014,Gujarat,51,Male,Two-Wheeler,8,Cloudy,Wet,OFF5581,Traffic Police,Suspended,2,,,Green,50,78,0.21,Positive,Yes,Yes,Cash,No,5,,17,46-60,True,28,Friday,True,2023-01
VLT100020,Wrong Parking,2727,Gujarat,2023-01-21,1900-01-01 09:00:00,Auto Rickshaw,Black,1996,Uttar Pradesh,19,Female,Heavy Vehicle,2,Clear,Dry,OFF3080,Traffic Police,Valid,1,Yes,No,Green,30,52,0.11,Positive,Yes,Yes,Online,Yes,4,Fine Paid On Spot,9,18-25,True,22,Saturday,True,2023-01
VLT100021,Drunk Driving,1502,Punjab,2023-01-22,1900-01-01 17:32:00,Scooter,Silver,2003,Karnataka,63,Male,Learner,8,Foggy,Dry,OFF5003,Local Police,Valid,2,No,Yes,Red,60,61,0.43,Positive,Yes,Yes,Cash,Yes,0,First Violation,17,60+,True,1,Sunday,False,2023-01
VLT100022,Signal Jumping,1665,Tamil Nadu,2023-01-23,1900-01-01 23:32:00,Bike,Grey,2016,West Bengal,64,Male,Learner,10,Foggy,Potholes,OFF8995,Highway Patrol,Expired,5,No,Yes,Yellow,30,26,0.32,Positive,No,No,Card,No,1,,23,60+,False,-4,Monday,True,2023-01
VLT100023,No Helmet,3951,Punjab,2023-01-24,1900-01-01 21:26:00,Truck,White,2007,Delhi,32,Female,Heavy Vehicle,4,Cloudy,Wet,OFF4358,Highway Patrol,Suspended,4,No,Yes,Red,80,38,0.36,Not Conducted,No,Yes,Card,No,1,First Violation,21,26-35,False,-42,Tuesday,True,2023-01
VLT100024,Signal Jumping,4232,Delhi,2023-01-25,1900-01-01 15:18:00,Scooter,Red,2019,Karnataka,30,Female,Learner,8,Dust Storm,Wet,OFF6798,RTO,Valid,3,,No,Yellow,60,92,0.4,Negative,No,No,Card,Yes,4,First Violation,15,26-35,True,32,Wednesday,True,2023-01
VLT100025,Overloading,2026,Uttar Pradesh,2023-01-26,1900-01-01 18:23:00,Bike,White,1998,Punjab,25,Other,Four-Wheeler,4,Dust Storm,Slippery,OFF8383,RTO,Expired,1,No,No,Yellow,60,81,0.29,Negative,Yes,No,Cash,No,0,,18,18-25,True,21,Thursday,False,2023-01
VLT100026,Drunk Driving,4741,Karnataka,2023-01-27,1900-01-01 18:54:00,Scooter,Yellow,2018,West Bengal,66,Other,Commercial,0,Clear,Under Construction,OFF2246,Traffic Police,Expired,4,Yes,No,Yellow,50,84,0.21,Positive,No,No,Card,Yes,3,,18,60+,True,34,Friday,True,2023-01
VLT100027,Over-speeding,4999,Delhi,2023-01-28,1900-01-01 21:56:00,Bus,Silver,2017,Karnataka,49,Female,Commercial,3,Cloudy,Slippery,OFF1032,Highway Patrol,Suspended,1,No,No,Green,100,66,0.5,Negative,Yes,No,Online,Yes,5,Repeat Offender,21,46-60,False,-34,Saturday,True,2023-01
VLT100028,Drunk Driving,2397,Delhi,2023-01-29,1900-01-01 14:41:00,Bike,Yellow,2002,Punjab,23,Female,Two-Wheeler,3,Clear,Potholes,OFF6662,RTO,Valid,5,Yes,No,Green,30,89,0.33,Negative,Yes,No,Card,Yes,5,First Violation,14,18-25,True,59,Sunday,True,2023-01
VLT100029,Using Mobile Phone,1163,Maharashtra,2023-01-30,1900-01-01 00:17:00,Bus,Grey,2020,Maharashtra,74,Male,Heavy Vehicle,10,Dust Storm,Dry,OFF4573,Local Police,Expired,5,,No,Green,50,97,0.38,Positive,Yes,No,Not Paid,Yes,0,,0,60+,True,47,Monday,False,2023-01
VLT100030,No Helmet,4508,Uttar Pradesh,2023-01-31,1900-01-01 07:42:00,Car,Silver,2009,West Bengal,73,Male,Learner,1,Clear,Under Construction,OFF6687,Highway Patrol,Valid,1,No,,Green,40,101,0.17,Not Conducted,Yes,Yes,Card,Yes,3,Fine Paid On Spot,7,60+,True,61,Tuesday,True,2023-01
VLT100031,Using Mobile Phone,3358,Delhi,2023-02-01,1900-01-01 15:46:00,Bus,Yellow,2021,West Bengal,51,Female,Heavy Vehicle,4,Cloudy,Potholes,OFF6939,Highway Patrol,Expired,5,Yes,No,Yellow,80,34,0.29,Not Conducted,Yes,No,Not Paid,No,5,Repeat Offender,15,46-60,False,-46,Wednesday,True,2023-02
VLT100032,No Helmet,323,Uttar Pradesh,2023-02-02,1900-01-01 10:41:00,Scooter,Silver,2013,Tamil Nadu,52,Male,Four-Wheeler,6,Rainy,Dry,OFF6108,Local Police,Suspended,5,,No,Yellow,40,21,0.17,Negative,No,Yes,Card,Yes,3,First Violation,10,46-60,False,-19,Thursday,True,2023-02
VLT100033,Signal Jumping,3636,Punjab,2023-02-03,1900-01-01 09:16:00,Car,Yellow,2018,Delhi,69,Male,Two-Wheeler,10,Cloudy,Slippery,OFF8194,Traffic Police,Expired,2,No,,Green,80,40,0.3,Positive,Yes,Yes,Not Paid,Yes,3,First Violation,9,60+,False,-40,Friday,True,2023-02
VLT100034,No Seatbelt,2937,Karnataka,2023-02-04,1900-01-01 04:35:00,Truck,Red,2011,Delhi,19,Male,Four-Wheeler,2,Foggy,Slippery,OFF4686,Traffic Police,Suspended,3,Yes,,Yellow,40,27,0.35,Not Conducted,Yes,No,Cash,Yes,2,First Violation,4,18-25,False,-13,Saturday,True,2023-02
VLT100035,No Helmet,2943,Delhi,2023-02-05,1900-01-01 12:42:00,Bike,Grey,2004,Tamil Nadu,40,Female,Four-Wheeler,3,Rainy,Potholes,OFF4462,Traffic Police,Suspended,4,No,,Yellow,100,67,0.32,Positive,No,No,Not Paid,Yes,2,,12,36-45,False,-33,Sunday,True,2023-02
VLT100036,Drunk Driving,2252,Tamil Nadu,2023-02-06,1900-01-01 04:44:00,Scooter,Grey,1996,Uttar Pradesh,45,Female,Learner,10,Dust Storm,Dry,OFF2047,Local Police,Expired,3,No,No,Green,80,118,0.25,Negative,Yes,No,Cash,Yes,5,,4,36-45,True,38,Monday,True,2023-02
VLT100037,Signal Jumping,2411,Karnataka,2023-02-07,1900-01-01 23:32:00,Scooter,White,2017,Karnataka,50,Female,Four-Wheeler,3,Dust Storm,Under Construction,OFF3703,Highway Patrol,Expired,4,Yes,No,Yellow,40,95,0.22,Positive,Yes,Yes,Card,Yes,3,Repeat Offender,23,46-60,True,55,Tuesday,True,2023-02
VLT100038,Driving Without License,3984,Gujarat,2023-02-08,1900-01-01 04:53:00,Bus,Black,2019,Uttar Pradesh,67,Male,Two-Wheeler,8,Dust Storm,Potholes,OFF3801,Highway Patrol,Valid,3,No,Yes,Green,50,84,0.27,Not Conducted,Yes,Yes,Cash,Yes,2,First Violation,4,60+,True,34,Wednesday,True,2023-02
VLT100039,Drunk Driving,2044,Karnataka,2023-02-09,1900-01-01 02:55:00,Bus,Black,2018,West Bengal,47,Other,Heavy Vehicle,2,Dust Storm,Under Construction,OFF2878,Highway Patrol,Suspended,5,Yes,Yes,Green,60,84,0.43,Negative,Yes,Yes,Cash,No,2,Fine Paid On Spot,2,46-60,True,24,Thursday,True,2023-02
VLT100040,Signal Jumping,3476,Karnataka,2023-02-10,1900-01-01 07:44:00,Bike,Green,2005,Maharashtra,52,Female,Two-Wheeler,0,Clear,Slippery,OFF7641,Highway Patrol,Suspended,2,,No,Red,40,41,0.45,Not Conducted,Yes,No,Card,Yes,3,First Violation,7,46-60,True,1,Friday,True,2023-02
VLT100041,Driving Without License,801,Delhi,2023-02-11,1900-01-01 04:19:00,Auto Rickshaw,Silver,2013,Karnataka,73,Other,Learner,3,Rainy,Wet,OFF7309,Highway Patrol,Suspended,2,,No,Red,40,102,0.29,Negative,No,Yes,Online,Yes,2,Repeat Offender,4,60+,True,62,Saturday,True,2023-02
VLT100042,Signal Jumping,3215,Uttar Pradesh,2023-02-12,1900-01-01 16:19:00,Truck,Silver,2019,Maharashtra,43,Male,Learner,7,Rainy,Dry,OFF6530,Local Police,Valid,1,No,Yes,Red,60,55,0.2,Not Conducted,Yes,No,Not Paid,Yes,4,First Violation,16,36-45,False,-5,Sunday,True,2023-02
VLT100043,Overloading,4981,West Bengal,2023-02-13,1900-01-01 12:57:00,Bike,Yellow,2011,Delhi,69,Female,Heavy Vehicle,3,Cloudy,Under Construction,OFF2101,Traffic Police,Suspended,1,,Yes,Green,80,41,0.24,Negative,Yes,Yes,Not Paid,Yes,4,Fine Paid On Spot,12,60+,False,-39,Monday,True,2023-02
VLT100044,Over-speeding,3162,Maharashtra,2023-02-14,1900-01-01 02:01:00,Auto Rickshaw,White,1996,Karnataka,26,Male,Learner,7,Dust Storm,Dry,OFF3879,Traffic Police,Suspended,1,Yes,No,Green,60,73,0.12,Not Conducted,Yes,Yes,Not Paid,Yes,3,,2,26-35,True,13,Tuesday,True,2023-02
VLT100045,Driving Without License,3809,West Bengal,2023-02-15,1900-01-01 11:07:00,Truck,Green,2015,Tamil Nadu,18,Male,Two-Wheeler,10,Cloudy,Slippery,OFF2516,Local Police,Suspended,3,,No,Yellow,100,87,0.34,Not Conducted,No,Yes,Online,Yes,2,First Violation,11,,False,-13,Wednesday,True,2023-02
VLT100046,No Seatbelt,4716,Punjab,2023-02-16,1900-01-01 14:19:00,Car,Blue,2008,Karnataka,64,Male,Heavy Vehicle,3,Clear,Slippery,OFF8812,Traffic Police,Suspended,4,,No,Yellow,100,56,0.43,Negative,Yes,Yes,Cash,Yes,0,First Violation,14,60+,False,-44,Thursday,False,2023-02
VLT100047,Driving Without License,4397,West Bengal,2023-02-17,1900-01-01 22:02:00,Bike,Silver,2008,Gujarat,42,Male,Two-Wheeler,1,Rainy,Wet,OFF5433,Highway Patrol,Valid,1,Yes,Yes,Yellow,30,99,0.27,Negative,Yes,Yes,Cash,Yes,2,,22,36-45,True,69,Friday,True,2023-02
VLT100048,No Seatbelt,3287,Gujarat,2023-02-18,1900-01-01 14:37:00,Bus,Yellow,1999,Delhi,72,Male,Heavy Vehicle,9,Clear,Slippery,OFF6160,Local Police,Suspended,4,,Yes,Red,50,25,0.36,Not Conducted,No,No,Not Paid,No,1,,14,60+,False,-25,Saturday,True,2023-02
VLT100049,Driving Without License,1044,Punjab,2023-02-19,1900-01-01 03:48:00,Auto Rickshaw,Blue,1998,Delhi,47,Other,Heavy Vehicle,7,Foggy,Under Construction,OFF2391,Highway Patrol,Expired,2,Yes,No,Green,100,83,0.17,Negative,No,No,Cash,Yes,2,First Violation,3,46-60,False,-17,Sunday,True,2023-02
VLT100050,Over-speeding,4845,Gujarat,2023-02-20,1900-01-01 08:18:00,Bike,Yellow,1997,Tamil Nadu,18,Female,Heavy Vehicle,3,Foggy,Potholes,OFF8132,Traffic Police,Suspended,2,Yes,No,Red,80,99,0.01,Negative,No,No,Not Paid,No,0,,8,,True,19,Monday,False,2023-02
VLT100051,Signal Jumping,138,Uttar Pradesh,2023-02-21,1900-01-01 05:59:00,Bike,Green,2002,West Bengal,63,Other,Heavy Vehicle,5,Cloudy,Wet,OFF3171,Local Police,Valid,1,Yes,No,Green,40,85,0.22,Positive,Yes,No,Card,Yes,5,Repeat Offender,5,60+,True,45,Tuesday,True,2023-02
VLT100052,Overloading,1311,Delhi,2023-02-22,1900-01-01 22:21:00,Bus,White,1995,Delhi,20,Other,Heavy Vehicle,6,Foggy,Slippery,OFF8738,Traffic Police,Valid,5,,No,Green,80,26,0.23,Positive,Yes,No,Cash,No,3,,22,18-25,False,-54,Wednesday,True,2023-02
VLT100053,Overloading,2288,Delhi,2023-02-23,1900-01-01 11:30:00,Scooter,Blue,1995,Delhi,59,Female,Four-Wheeler,1,Dust Storm,Under Construction,OFF3914,Traffic Police,Suspended,2,,Yes,Red,30,45,0.09,Not Conducted,No,Yes,Not Paid,No,0,First Violation,11,46-60,True,15,Thursday,False,2023-02
VLT100054,Using Mobile Phone,4138,Tamil Nadu,2023-02-24,1900-01-01 21:11:00,Auto Rickshaw,Black,2013,Karnataka,21,Male,Heavy Vehicle,1,Clear,Under Construction,OFF4211,Highway Patrol,Valid,5,No,No,Green,40,96,0.2,Positive,Yes,Yes,Online,Yes,1,Fine Paid On Spot,21,18-25,True,56,Friday,True,2023-02
VLT100055,Wrong Parking,1177,Uttar Pradesh,2023-02-25,1900-01-01 07:50:00,Truck,Grey,2017,Maharashtra,51,Other,Two-Wheeler,8,Clear,Potholes,OFF4676,Highway Patrol,Expired,1,Yes,No,Green,80,112,0.11,Negative,No,Yes,Not Paid,No,5,,7,46-60,True,32,Saturday,True,2023-02
VLT100056,Over-speeding,2034,Tamil Nadu,2023-02-26,1900-01-01 17:10:00,Bike,Black,2014,Karnataka,21,Female,Commercial,7,Clear,Dry,OFF5776,Traffic Police,Suspended,2,Yes,No,Red,100,70,0.16,Negative,Yes,Yes,Card,Yes,4,First Violation,17,18-25,False,-30,Sunday,True,2023-02
VLT100057,Driving Without License,3162,Tamil Nadu,2023-02-27,1900-01-01 09:36:00,Auto Rickshaw,Grey,2015,Maharashtra,27,Other,Heavy Vehicle,1,Cloudy,Potholes,OFF3351,Local Police,Valid,5,Yes,Yes,Green,50,101,0.41,Positive,Yes,Yes,Cash,Yes,3,,9,26-35,True,51,Monday,True,2023-02
VLT100058,No Helmet,4919,West Bengal,2023-02-28,1900-01-01 07:19:00,Auto Rickshaw,Green,2009,Delhi,72,Male,Commercial,9,Rainy,Under Construction,OFF5019,Highway Patrol,Valid,4,,Yes,Green,80,63,0.27,Not Conducted,No,No,Not Paid,No,5,,7,60+,False,-17,Tuesday,True,2023-02
VLT100059,Driving Without License,2938,Uttar Pradesh,2023-03-01,1900-01-01 18:19:00,Scooter,Blue,2000,Gujarat,59,Male,Heavy Vehicle,9,Dust Storm,Dry,OFF1118,Highway Patrol,Valid,2,Yes,Yes,Red,100,48,0.32,Negative,Yes,No,Online,Yes,4,Repeat Offender,18,46-60,False,-52,Wednesday,True,2023-03
VLT100060,Overloading,397,Gujarat,2023-03-02,1900-01-01 02:56:00,Scooter,Green,2005,Tamil Nadu,38,Other,Heavy Vehicle,6,Foggy,Wet,OFF6264,Traffic Police,Valid,1,Yes,,Green,60,71,0.12,Positive,No,No,Cash,No,2,Fine Paid On Spot,2,36-45,True,11,Thursday,True,2023-03
VLT100061,Driving Without License,331,Karnataka,2023-03-03,1900-01-01 12:04:00,Car,Grey,2022,Punjab,36,Female,Learner,10,Rainy,Slippery,OFF6197,RTO,Suspended,4,,,Red,60,80,0.12,Positive,Yes,No,Card,Yes,5,Fine Paid On Spot,12,36-45,True,20,Friday,True,2023-03
VLT100062,No Seatbelt,2253,Gujarat,2023-03-04,1900-01-01 22:54:00,Bike,Blue,2011,West Bengal,50,Female,Learner,0,Foggy,Slippery,OFF5914,Local Police,Expired,5,Yes,,Green,40,104,0.25,Not Conducted,No,No,Card,Yes,3,First Violation,22,46-60,True,64,Saturday,True,2023-03
VLT100063,No Helmet,878,Tamil Nadu,2023-03-05,1900-01-01 04:22:00,Bus,White,2006,West Bengal,35,Male,Commercial,3,Clear,Dry,OFF5450,RTO,Suspended,5,No,,Red,60,49,0.45,Not Conducted,Yes,No,Online,Yes,3,Fine Paid On Spot,4,26-35,False,-11,Sunday,True,2023-03
VLT100064,Wrong Parking,831,Delhi,2023-03-06,1900-01-01 15:38:00,Bus,Grey,2013,Uttar Pradesh,28,Male,Heavy Vehicle,2,Foggy,Under Construction,OFF1514,Traffic Police,Valid,1,,Yes,Red,100,33,0.3,Not Conducted,No,Yes,Not Paid,Yes,3,First Violation,15,26-35,False,-67,Monday,True,2023-03
VLT100065,Drunk Driving,2570,Punjab,2023-03-07,1900-01-01 14:57:00,Truck,White,2023,Karnataka,46,Other,Heavy Vehicle,7,Clear,Dry,OFF4844,RTO,Expired,5,,,Green,80,76,0.24,Positive,No,Yes,Card,Yes,4,Repeat Offender,14,46-60,False,-4,Tuesday,True,2023-03
VLT100066,Wrong Parking,1072,Tamil Nadu,2023-03-08,1900-01-01 17:46:00,Scooter,Red,2005,Delhi,33,Other,Learner,5,Cloudy,Wet,OFF9768,Highway Patrol,Expired,3,Yes,Yes,Red,30,60,0.23,Negative,No,Yes,Not Paid,Yes,2,Repeat Offender,17,26-35,True,30,Wednesday,True,2023-03
VLT100067,Drunk Driving,4826,Karnataka,2023-03-09,1900-01-01 04:12:00,Bus,Silver,1997,Punjab,60,Female,Two-Wheeler,7,Foggy,Wet,OFF8021,Traffic Police,Valid,2,Yes,No,Yellow,50,88,0.11,Positive,No,No,Online,Yes,0,Repeat Offender,4,46-60,True,38,Thursday,False,2023-03
VLT100068,Wrong Parking,3076,West Bengal,2023-03-10,1900-01-01 19:00:00,Bike,Yellow,2000,Maharashtra,44,Male,Heavy Vehicle,2,Clear,Wet,OFF4255,RTO,Valid,5,,,Yellow,80,23,0.03,Not Conducted,Yes,No,Not Paid,Yes,0,,19,36-45,False,-57,Friday,False,2023-03
VLT100069,Wrong Parking,3232,Uttar Pradesh,2023-03-11,1900-01-01 13:50:00,Bus,Green,2020,Tamil Nadu,61,Male,Commercial,2,Clear,Dry,OFF7227,Highway Patrol,Expired,2,,,Yellow,80,99,0.18,Not Conducted,Yes,No,Online,No,0,Fine Paid On Spot,13,60+,True,19,Saturday,False,2023-03
VLT100070,Drunk Driving,3604,Delhi,2023-03-12,1900-01-01 06:33:00,Scooter,Silver,2000,Gujarat,32,Female,Two-Wheeler,2,Dust Storm,Potholes,OFF4617,Highway Patrol,Valid,3,No,No,Green,60,108,0.15,Positive,Yes,Yes,Cash,No,0,,6,26-35,True,48,Sunday,False,2023-03
VLT100071,Overloading,4577,Punjab,2023-03-13,1900-01-01 11:00:00,Truck,Red,2003,West Bengal,74,Male,Two-Wheeler,7,Dust Storm,Dry,OFF9643,Highway Patrol,Suspended,3,No,No,Yellow,40,34,0.13,Not Conducted,No,No,Cash,No,1,Repeat Offender,11,60+,False,-6,Monday,True,2023-03
VLT100072,Using Mobile Phone,4410,Maharashtra,2023-03-14,1900-01-01 06:15:00,Truck,Yellow,2006,Gujarat,52,Female,Learner,5,Foggy,Wet,OFF8840,Highway Patrol,Expired,3,No,Yes,Green,40,77,0.15,Positive,Yes,Yes,Not Paid,Yes,4,Repeat Offender,6,46-60,True,37,Tuesday,True,2023-03
VLT100073,Over-speeding,1054,Karnataka,2023-03-15,1900-01-01 03:49:00,Auto Rickshaw,Yellow,2009,Uttar Pradesh,75,Other,Four-Wheeler,3,Dust Storm,Under Construction,OFF5339,Highway Patrol,Expired,2,,,Green,40,58,0.07,Negative,No,Yes,Online,Yes,3,Fine Paid On Spot,3,60+,True,18,Wednesday,True,2023-03
VLT100074,Over-speeding,2037,Uttar Pradesh,2023-03-16,1900-01-01 07:36:00,Car,Yellow,2017,Delhi,41,Male,Two-Wheeler,9,Clear,Dry,OFF7157,Traffic Police,Suspended,3,,No,Red,30,105,0.18,Positive,No,Yes,Online,No,4,Repeat Offender,7,36-45,True,75,Thursday,True,2023-03
VLT100075,Signal Jumping,1256,Punjab,2023-03-17,1900-01-01 09:26:00,Truck,Red,2017,Punjab,45,Male,Commercial,6,Dust Storm,Wet,OFF7407,Local Police,Suspended,2,,No,Red,30,28,0.32,Negative,No,Yes,Online,No,2,Fine Paid On Spot,9,36-45,False,-2,Friday,True,2023-03
VLT100076,Overloading,4679,Gujarat,2023-03-18,1900-01-01 15:10:00,Scooter,White,2020,Uttar Pradesh,49,Other,Learner,6,Clear,Under Construction,OFF5618,RTO,Expired,5,,No,Yellow,80,57,0.44,Positive,No,No,Online,Yes,2,Fine Paid On Spot,15,46-60,False,-23,Saturday,True,2023-03
VLT100077,Wrong Parking,941,West Bengal,2023-03-19,1900-01-01 09:00:00,Truck,Black,2004,Delhi,63,Male,Commercial,4,Cloudy,Dry,OFF5798,Highway Patrol,Expired,1,Yes,Yes,Green,30,85,0.45,Negative,No,No,Online,No,3,First Violation,9,60+,True,55,Sunday,True,2023-03
VLT100078,No Seatbelt,2236,Gujarat,2023-03-20,1900-01-01 12:41:00,Scooter,White,2022,Uttar Pradesh,57,Male,Two-Wheeler,4,Cloudy,Wet,OFF4922,Local Police,Valid,5,,Yes,Green,100,109,0.09,Not Conducted,Yes,Yes,Cash,No,2,Repeat Offender,12,46-60,True,9,Monday,True,2023-03
